Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_density_ratio_maximum;0.016;0.00170125;0.00204754;0.00246465;0.00296699;0.00357185;0.00429991;0.00517594;0.00622948;0.00749573;0.0090164;0.0108408;0.0130266;0.0156409;0.0187605;0.0224712;0.026865;0.0320342;0.0380568;0.0449697;0.0527158;0.0610493;0.0693721;0.0764829;0.0802862;0.0670829;0.0597808;0.0654294;0.0698234;0.0724886;0.072838;0.0702036;0.0641245;0.0547358;0.0568568;0.0638708;0.0694149;0.0726552;0.0728296;0.069397;0.0622148;0.0517264;0.0592228;0.0665697;0.0717611;0.0741457;0.0730964;0.068207;0.0596677;0.0543168;0.0624409;0.0692424;0.073572;0.0747292;0.0721307;0.0656799;0.0555562;0.0581448;0.0658736;0.0717167;0.0745531;0.0738157;0.0695052;0.0614126;0.0538086;0.0620524;0.0689975;0.0732639;0.0740379;0.0715315;0.0653444;0.0553909;0.0579376;0.0656384;0.0713167;0.073295;0.0723072;0.0678854;0.059771;0.0538089;0.0619417;0.0686703;0.0718628;0.0721663;0.0692923;0.0628264;0.0527324;0.0580872;0.0654067;0.0699729;0.0713468;0.0697321;0.0648046;0.0563844;0.0542365;0.0618814;0.0677558;0.0700086;0.0695285;0.0659874;
new_dt;0.0001;0.00011;0.000121;0.0001331;0.00014641;0.000161051;0.000177156;0.000194872;0.000214359;0.000235795;0.000259374;0.000285312;0.000313843;0.000345227;0.00037975;0.000417725;0.000459497;0.000505447;0.000555992;0.000611591;0.00067275;0.000740025;0.000814027;0.00089543;0.000834234;0.000783299;0.00074557;0.000718939;0.000701146;0.000690017;0.000683563;0.000680042;0.00067804;0.000676557;0.000675048;0.000673395;0.000671789;0.000670577;0.000670112;0.000670654;0.000672337;0.000675172;0.000679084;0.00067831;0.000676565;0.000675313;0.000675118;0.000676283;0.000678949;0.000683148;0.000685257;0.000684215;0.000683024;0.00068252;0.000683255;0.000685486;0.000689375;0.000692251;0.000692536;0.000689891;0.000687458;0.00068897;0.000692381;0.000696206;0.000699363;0.000701102;0.0006983;0.000693284;0.000693684;0.000696991;0.000701566;0.000706041;0.000709309;0.000709508;0.000701185;0.000699713;0.000702331;0.000707099;0.000712457;0.000717091;0.000720007;0.000711093;0.000707146;0.000708517;0.000712879;0.000718578;0.000724117;0.000727975;0.000722962;0.000715995;0.000715536;0.000718926;0.000724401;0.000730407;0.000735174;0.000736291;0.000726194;0.0007234;0.000725474;0.000730313;
